Site;Placette;No_passage;espece;Abondance;genre_famille;Abondance;remarque;
TDC;1;1;leucorrhinia_dubia;47;;;;
TDC;1;1;cordulia_aenae;1;;;;
TDC;2;1;leucorrhinia_dubia;59;;;;
TDC;2;1;cordulia_aenae;6;;;;
TDC;2;1;libellula_quatrimaculata;1;;;;
TDC;3;1;leucorrhinia_dubia;26;;;;
TDC;3;1;cordulia_aenae;1;;;;
TDC;4;1;leucorrhinia_dubia;32;;;;
TDC;5;1;leucorrhinia_dubia;20;;;;
TDC;5;1;cordulia_aenae;2;;;;
TDC;6;1;leucorrhinia_dubia;15;;;;
TDC;6;1;cordulia_aenae;1;;;;
TDC;6;1;;;ni;1;;
TDC;7;1;leucorrhinia_dubia;39;;;;
TDC;7;1;cordulia_aenae;1;;;;
TDC;8;1;leucorrhinia_dubia;26;;;;
TDC;9;1;leucorrhinia_dubia;87;;;;
TDC;9;1;cordulia_aenae;3;;;;
TDC;9;1;anax_imperator;3;;;;
TDC;10;1;leucorrhinia_dubia;40;;;;
TDC;10;1;cordulia_aenae;2;;;;
TDC;10;1;anax_imperator;2;;;;
TDC;11;1;leucorrhinia_dubia;13;;;;
TDC;12;1;leucorrhinia_dubia;69;;;;
TDC;12;1;libellula_quatrimaculata;1;;;;
TDC;13;1;leucorrhinia_dubia;28;;;;
TDC;13;1;;;ni;1;;
TDC;14;1;leucorrhinia_dubia;3;;;;
TDC;15;1;leucorrhinia_dubia;29;;;;
TDC;16;1;leucorrhinia_dubia;55;;;;
TDC;16;1;libellula_quatrimaculata;1;;;;
TDC;16;1;cordulia_aenae;3;;;;
TDC;16;1;anax_imperator;6;;;;
TDC;17;1;leucorrhinia_dubia;31;;;;
TDC;17;1;anax_imperator;15;;;;
TDC;18;1;leucorrhinia_dubia;72;;;;
TDC;18;1;cordulia_aenae;3;;;;
TDC;18;1;anax_imperator;13;;;;
TDC;19;1;leucorrhinia_dubia;47;;;;
TDC;20;1;leucorrhinia_dubia;27;;;;
TDC;21;1;leucorrhinia_dubia;41;;;;
TDC;21;1;cordulia_aenae;5;;;;
TDC;21;1;anax_imperator;7;;;;
TDC;22;1;leucorrhinia_dubia;49;;;;
TDC;22;1;cordulia_aenae;5;;;;
TDC;22;1;anax_imperator;8;;;;
TDC;23;1;leucorrhinia_dubia;74;;;;
TDC;23;1;libellula_quatrimaculata;2;;;;
TDC;23;1;;;ni;1;;
TDC;24;1;leucorrhinia_dubia;59;;;;
TDC;24;1;cordulia_aenae;3;;;;
