site;secteur;date; passage;nombre_observateurs;observateur_1;observateur_2;observateur_3;observateur_4; placette;habitat_predominant;pourcentage_habitat_predominant;surface_eau_libre;temps_total_prospection_min;temps_recolte_par_personne_min;helophytes;helophytes_1;helophytes_2;helophytes_3;helophytes_4;profondeur_eau_cm;exuvies;remarque;nombre_exuvies_anisopteres;nombre_exuvies_zygopteres;espece;genre_famille;sexe;determinateur;verification_hors_PNR;nenuphar;exuvies_sur_nenuphar;temperature_generale;heure_arrivee;heure_depart;temps_passe
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;40;fosse_d_extraction;NA;71_80;23;;1;carex;NA;NA;NA;50;1;Une dizaine non-récoltées (inutilisables, dans l'eau);3;NA;libellula_quadrimaculata;;NA;ME_MC;NA;NA;NA;15,6;11:05:00;11:28:00;00:23
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;39;fosse_d_extraction;NA;61_70;18;NA;1;carex;NA;NA;NA;0;1;NA;2;NA;libellula_quadrimaculata;;NA;ME_MC;NA;NA;NA;15,6;11:32:00;11:50:00;00:18
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;39;fosse_d_extraction;NA;61_70;18;NA;1;carex;NA;NA;NA;0;1;NA;10;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;15,6;11:32:00;11:50:00;00:18
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;41;fosse_d_extraction;NA;21_30;15;NA;1;carex;NA;NA;NA;0;1;NA;2;NA;somatochlora_alpestris;;NA;ME_MC_JD;NA;NA;NA;15,6;11:55:00;12:10:00;00:15
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;41;fosse_d_extraction;NA;21_30;15;NA;1;carex;NA;NA;NA;0;1;NA;1;NA;aeshna_juncea;;NA;ME_MC;NA;NA;NA;15,6;11:55:00;12:10:00;00:15
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;37;fosse_d_extraction;NA;11_20;15;NA;1;carex;NA;NA;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;12:12:00;12:27:00;00:15
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;38;fosse_d_extraction;NA;51_60;15;NA;0;NA;NA;NA;NA;0;1;NA;1;NA;somatochlora_arctica;;NA;ME_MC;NA;NA;NA;17,1;12:29:00;12:44:00;00:15
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;38;fosse_d_extraction;NA;51_60;15;NA;0;NA;NA;NA;NA;0;1;NA;1;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;17,1;12:29:00;12:44:00;00:15
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;17;zone_a_sphaignes;NA;11_20;15;NA;1;carex;NA;NA;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;13:53:00;14:08:00;00:15
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;83;mare_d_eau_libre;NA;41_50;15;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;14:10:00;14:25:00;00:15
TGF;NA;12/07/2021;1;2;MC;HL;NA;NA;82;mare_d_eau_libre;NA;1_10;13;NA;1;carex;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,1;14:31:00;14:44:00;00:13
