Site;Placette;No_passage;espece;Abondance;genre_famille;Abondance;remarque;;;;;
TDM;8;1;cordulia_aenea;1;;;;;;;;
TDM;9;1;leucorrhinia_dubia;2;;;;;;;;
TDM;10;1;leucorrhinia_dubia;4;;;;;;;;
TDM;10;1;aeshna_subarctica_elisabethae;3;;;;;;;;
TDM;10;1;somatochlora_arctica;1;;;;;;;;
TDM;11;1;cordulia_aenea;1;;;;;;;;
TDM;11;1;leucorrhinia_dubia;7;;;;;;;;
TDM;11;1;somatochlora_arctica;1;;;;;;;;
TDM;12;1;somatochlora_arctica;2;;;;;;;;
TDM;15;1;libellula_quadrimaculata;1;;;;;;;;
TDM;18;1;aeshna_cyanea;1;;;;;;;;
TDM;33;1;leucorrhinia_dubia;1;;;;;;;;
TDM;35;1;aeshna_subarctica_elisabethae;2;;;;;;;;
TDM;35;1;leucorrhinia_dubia;1;;;;;;;;
TDM;35;1;somatochlora_arctica;2;;;;;;;;
TDM;40;1;leucorrhinia_dubia;5;;;;;;;;
TDM;40;1;cordulia_aenea;1;;;;;;;;
TDM;41;1;aeshna_cyanea;1;;;;;;;;
TDM;41;1;libellula_quadrimaculata;1;;;;;;;;
TDM;41;1;leucorrhinia_dubia;1;;;;;;;;
TDM;42;1;leucorrhinia_dubia;1;;;;;;;;
TDM;44;1;libellula_quadrimaculata;1;;;;;;;;
TDM;45;1;leucorrhinia_dubia;1;;;;;;;;
TDM;46;1;aeshna_cyanea;3;;;;;;;;
TDM;47;1;aeshna_subarctica_elisabethae;12;;;;;;;;
TDM;47;1;leucorrhinia_dubia;1;;;;;;;;
TDM;47;1;somatochlora_arctica;1;;;;;;;;
TDM;48;1;libellula_quadrimaculata;1;;;;;;;;
TDM;49;1;aeshna_subarctica_elisabethae;4;;;;;;;;
TDM;49;1;somatochlora_arctica;1;;;;;;;;
TDM;50;1;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;50;1;leucorrhinia_dubia;3;;;;;;;;
TDM;50;1;somatochlora_arctica;1;;;;;;;;
TDM;51;1;leucorrhinia_dubia;2;;;;;;;;
TDM;52;1;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;53;2;somatochlora_arctica;1;;;;;;;;
TDM;54;1;cordulia_aenea;2;;;;;;;;
TDM;55;1;cordulia_aenea;3;;;;;;;;
TDM;55;1;leucorrhinia_dubia;3;;;;;;;;
TDM;56;1;aeshna_subarctica_elisabethae;1;;;;;;;;
TDM;59;1;cordulia_aenea;1;;;;;;;;
