espece;tot_exuvies_RNM;tot_exuvies_TDC;tot_exuvies_TGF;tot_placettes_RNM;tot_placettes_TDC;tot_placettes_TGF
aeshna grandis;1;0;0;1;0;0
aeshna_cyanea;45;6;4;7;4;2
aeshna_grandis;0;1;0;0;1;0
aeshna_juncea;5;1;4;5;1;4
aeshna_subarctica_elisabethae;78;7;1;19;2;1
anax_imperator;0;60;0;0;9;0
cordulia_aenae;0;64;0;0;21;0
cordulia_aenea;17;0;0;12;0;0
indetermine;8;0;0;8;0;0
leucorrhinia_dubia;37;1989;47;16;32;8
libellula_quadrimaculata;13;0;0;8;0;0
libellula_quatrimaculata;0;27;0;0;11;0
somatochlora_alpestris;0;0;4;0;0;4
somatochlora_arctica;30;30;8;18;18;6
sympetrum_danae;130;15;0;22;8;0
