placette_site;No_passage;nb_exuvies_anisopteres;espece;abondance
TGF_1;1;0;NA;NA
TGF_1;2;0;NA;NA
TGF_1;3;0;NA;NA
TGF_100;1;0;NA;NA
TGF_100;2;0;NA;NA
TGF_100;3;0;NA;NA
TGF_101;1;1;leucorrhinia_dubia;1
TGF_101;2;0;NA;NA
TGF_101;3;3;aeshna_cyanea;3
TGF_102;1;0;NA;NA
TGF_102;2;0;NA;NA
TGF_102;3;0;NA;NA
TGF_104;1;0;NA;NA
TGF_104;2;0;NA;NA
TGF_104;3;0;NA;NA
TGF_105;1;0;NA;NA
TGF_105;2;0;NA;NA
TGF_105;3;0;NA;NA
TGF_106;1;0;NA;NA
TGF_106;2;0;NA;NA
TGF_106;3;0;NA;NA
TGF_107;1;0;NA;NA
TGF_107;2;0;NA;NA
TGF_107;3;0;NA;NA
TGF_108;1;0;NA;NA
TGF_108;2;0;NA;NA
TGF_108;3;0;NA;NA
TGF_109;1;0;NA;NA
TGF_109;2;0;NA;NA
TGF_109;3;0;NA;NA
TGF_11;1;0;NA;NA
TGF_11;2;1;aeshna_juncea;1
TGF_11;3;0;NA;NA
TGF_110;1;0;NA;NA
TGF_110;2;0;NA;NA
TGF_110;3;0;NA;NA
TGF_111;1;0;NA;NA
TGF_111;2;0;NA;NA
TGF_111;3;0;NA;NA
TGF_112;1;2;somatochlora_alpestris;1
TGF_112;1;2;NA;NA
TGF_112;2;0;NA;NA
TGF_112;3;0;NA;NA
TGF_114;1;0;NA;NA
TGF_114;2;0;NA;NA
TGF_114;3;0;NA;NA
TGF_115;1;0;NA;NA
TGF_115;2;0;NA;NA
TGF_115;3;0;NA;NA
TGF_116;1;0;NA;NA
TGF_116;2;0;NA;NA
TGF_116;3;0;NA;NA
TGF_117;1;0;NA;NA
TGF_117;2;0;NA;NA
TGF_117;3;0;NA;NA
TGF_118;1;0;NA;NA
TGF_118;2;0;NA;NA
TGF_118;3;0;NA;NA
TGF_120;1;0;NA;NA
TGF_120;2;0;NA;NA
TGF_120;3;0;NA;NA
TGF_123;1;0;NA;NA
TGF_123;2;0;NA;NA
TGF_123;3;0;NA;NA
TGF_124;1;1;somatochlora_arctica;1
TGF_124;2;0;NA;NA
TGF_124;3;0;NA;NA
TGF_125;1;0;NA;NA
TGF_125;2;0;NA;NA
TGF_125;3;0;NA;NA
TGF_126;1;0;NA;NA
TGF_126;2;0;NA;NA
TGF_126;3;0;NA;NA
TGF_127;1;0;NA;NA
TGF_127;2;0;NA;NA
TGF_127;3;0;NA;NA
TGF_128;1;0;NA;NA
TGF_128;2;0;NA;NA
TGF_128;3;0;NA;NA
TGF_129;1;0;NA;NA
TGF_129;2;0;NA;NA
TGF_129;3;0;NA;NA
TGF_13;1;0;NA;NA
TGF_13;2;0;NA;NA
TGF_13;3;0;NA;NA
TGF_130;1;0;NA;NA
TGF_130;2;0;NA;NA
TGF_130;3;0;NA;NA
TGF_14;1;0;NA;NA
TGF_14;2;0;NA;NA
TGF_14;3;0;NA;NA
TGF_15;1;0;NA;NA
TGF_15;2;0;NA;NA
TGF_15;3;0;NA;NA
TGF_16;1;0;NA;NA
TGF_16;2;0;NA;NA
TGF_16;3;0;NA;NA
TGF_18;1;0;NA;NA
TGF_18;2;0;NA;NA
TGF_18;3;0;NA;NA
TGF_21;1;0;NA;NA
TGF_21;2;0;NA;NA
TGF_21;3;0;NA;NA
TGF_22;1;0;NA;NA
TGF_22;2;0;NA;NA
TGF_22;3;0;NA;NA
TGF_23;1;6;NA;NA
TGF_23;1;6;leucorrhinia_dubia;4
TGF_23;1;6;somatochlora_arctica;1
TGF_23;2;0;NA;NA
TGF_23;3;0;NA;NA
TGF_24;1;9;NA;NA
TGF_24;2;0;NA;NA
TGF_24;3;0;NA;NA
TGF_25;1;0;NA;NA
TGF_25;2;0;NA;NA
TGF_25;3;0;NA;NA
TGF_27;1;3;leucorrhinia_dubia;3
TGF_27;2;0;NA;NA
TGF_27;3;0;NA;NA
TGF_28;1;2;NA;NA
TGF_28;1;2;leucorrhinia_dubia;1
TGF_28;2;0;NA;NA
TGF_28;3;1;leucorrhinia_dubia;1
TGF_29;1;0;leucorrhinia_dubia;9
TGF_29;2;0;NA;NA
TGF_29;3;0;NA;NA
TGF_31;1;0;NA;NA
TGF_31;2;0;NA;NA
TGF_31;3;1;NA;NA
TGF_32;1;0;NA;NA
TGF_32;2;0;NA;NA
TGF_32;3;0;NA;NA
TGF_33;1;0;NA;NA
TGF_33;2;0;NA;NA
TGF_33;3;0;NA;NA
TGF_34;1;1;somatochlora_alpestris;1
TGF_34;2;1;aeshna_cyanea;1
TGF_34;3;0;NA;NA
TGF_35;1;1;somatochlora_alpestris;1
TGF_35;2;1;aeshna_juncea;1
TGF_35;3;1;NA;NA
TGF_36;1;1;somatochlora_arctica;1
TGF_36;2;0;NA;NA
TGF_36;3;0;NA;NA
TGF_37;1;1;somatochlora_alpestris;1
TGF_37;2;0;NA;NA
TGF_37;3;0;NA;NA
TGF_38;1;8;leucorrhinia_dubia;4
TGF_38;1;8;somatochlora_arctica;3
TGF_38;1;8;aeshna_juncea;1
TGF_38;2;0;NA;NA
TGF_38;3;4;NA;NA
