model;nPars;AIC;delta;AICwt;cumltvWt
p(periode+site) psi(habitat);13;197,95;0,00;0,88;0,88
p(habitat+periode+site) psi(site);15;204,00;6,05;0,04;0,93
p(habitat+periode) psi(site);13;204,28;6,33;0,04;0,96
p(habitat+periode+site) psi(.);13;204,52;6,57;0,03;1,00
p(habitat+periode+site) psi(habitat);21;210,07;12,12;0,00;1,00
p(site) psi(habitat);12;212,17;14,22;0,00;1,00
p(periode) psi(habitat);11;215,30;17,35;0,00;1,00
p(habitat+periode) psi(.);11;215,87;17,92;0,00;1,00
p(habitat+site) psi(.);12;217,46;19,51;0,00;1,00
p(habitat) psi(.);10;225,82;27,87;0,00;1,00
p(periode+site) psi(.);5;264,64;66,69;0,00;1,00
p(site) psi(.);4;277,44;79,49;0,00;1,00
p(periode_cat) psi(.);5;284,91;86,96;0,00;1,00
p(periode) psi(.);3;285,66;87,71;0,00;1,00
p(.) psi(.);2;294,26;96,32;0,00;1,00
p(eau) psi(.);3;294,84;96,89;0,00;1,00
p(helophytes) psi(.);3;295,38;97,43;0,00;1,00
