model;nPars;AIC;delta;AICwt;cumltvWt
p(periode_cat) psi(habitat);13;171,84;0,00;0,22;0,22
p(periode_cat+habitat) psi(.);13;172,00;0,17;0,20;0,42
p(periode_cat+eau) psi(.);6;173,07;1,23;0,12;0,53
p(.) psi(habitat);10;173,24;1,40;0,11;0,64
p(eau) psi(habitat);11;173,75;1,92;0,08;0,72
p(habitat) psi(.);10;173,83;2,00;0,08;0,80
p(eau+habitat) psi(.);11;174,41;2,58;0,06;0,86
p(helophytes) psi(habitat);11;174,60;2,76;0,05;0,92
p(habitat) psi(site);12;175,38;3,54;0,04;0,95
p(site) psi(habitat);12;175,96;4,12;0,03;0,98
p(eau) psi(.);3;176,80;4,97;0,02;1,00
p(habitat) psi(habitat+site);20;186,85;15,01;0,00;1,00
p(habitat) psi(habitat);18;188,15;16,32;0,00;1,00
p(periode_cat) psi(.);5;188,52;16,68;0,00;1,00
p(helophytes) psi(.);3;189,16;17,32;0,00;1,00
p(.) psi(.);2;190,69;18,86;0,00;1,00
p(periode) psi(.);3;192,67;20,83;0,00;1,00
p(site) psi(.);4;194,35;22,51;0,00;1,00
