placette;date;temps_tot;temps_total_prospection_min;difference
C35;2021-09-08;14,26;14,26;0,00000000000000e+00
C35;2021-09-08;14,26;14,26;0,00000000000000e+00
C35;2021-09-08;14,26;14,26;0,00000000000000e+00
C39;2021-07-29;15,00;15,00;0,00000000000000e+00
C36;2021-07-29;18,90;19,00;-1,00000000000001e-01
C31;2021-07-29;19,50;19,50;0,00000000000000e+00
C16;2021-07-29;17,40;17,40;0,00000000000000e+00
C37;2021-06-16;20,00;20,00;0,00000000000000e+00
C32;2021-06-16;20,00;20,00;0,00000000000000e+00
C31;2021-06-16;20,00;20,00;0,00000000000000e+00
C27;2021-06-16;20,00;20,00;0,00000000000000e+00
C4;2021-06-15;20,00;20,00;0,00000000000000e+00
C7;2021-06-15;19,98;20,00;-1,99999999999996e-02
C7;2021-06-15;19,98;20,00;-1,99999999999996e-02
C7;2021-06-15;19,98;20,00;-1,99999999999996e-02
P31;2021-06-15;19,50;19,50;0,00000000000000e+00
P41;2021-06-15;19,50;19,50;0,00000000000000e+00
C10;2021-06-16;20,00;20,00;0,00000000000000e+00
C11;2021-06-16;20,00;20,00;0,00000000000000e+00
C14;2021-06-16;20,00;20,00;0,00000000000000e+00
C16;2021-06-16;20,00;20,00;0,00000000000000e+00
C17;2021-06-16;20,00;20,00;0,00000000000000e+00
C18;2021-06-16;20,00;20,00;0,00000000000000e+00
C19;2021-06-16;20,00;20,00;0,00000000000000e+00
C20;2021-06-16;20,00;20,00;0,00000000000000e+00
C21;2021-06-16;20,00;20,00;0,00000000000000e+00
C22;2021-06-16;20,00;20,00;0,00000000000000e+00
C23;2021-06-16;20,00;20,00;0,00000000000000e+00
C24;2021-06-16;15,00;15,00;0,00000000000000e+00
C25;2021-06-16;20,00;20,00;0,00000000000000e+00
C26;2021-06-16;20,00;20,00;0,00000000000000e+00
C28;2021-06-16;20,00;20,00;0,00000000000000e+00
C29;2021-06-16;15,00;15,00;0,00000000000000e+00
C38;2021-06-16;20,00;20,00;0,00000000000000e+00
C40;2021-06-16;20,00;20,00;0,00000000000000e+00
C41;2021-06-16;20,00;20,00;0,00000000000000e+00
C42;2021-06-16;20,00;20,00;0,00000000000000e+00
C43;2021-06-16;20,00;20,00;0,00000000000000e+00
C45;2021-06-16;20,00;20,00;0,00000000000000e+00
C46;2021-06-16;15,00;15,00;0,00000000000000e+00
C47;2021-06-16;20,00;20,00;0,00000000000000e+00
C48;2021-06-16;20,00;20,00;0,00000000000000e+00
C49;2021-06-16;15,00;15,00;0,00000000000000e+00
P0;2021-06-17;19,50;19,50;0,00000000000000e+00
P1;2021-06-17;15,00;15,00;0,00000000000000e+00
P10;2021-06-17;15,00;15,00;0,00000000000000e+00
P11;2021-06-17;15,00;15,00;0,00000000000000e+00
P12;2021-06-17;13,50;13,50;0,00000000000000e+00
P13;2021-06-17;20,00;20,00;0,00000000000000e+00
P14;2021-06-17;20,00;20,00;0,00000000000000e+00
P15;2021-06-17;20,00;20,00;0,00000000000000e+00
P16;2021-06-17;20,00;20,00;0,00000000000000e+00
P17;2021-06-17;18,00;18,00;0,00000000000000e+00
P18;2021-06-17;20,00;20,00;0,00000000000000e+00
P19;2021-06-17;16,50;16,50;0,00000000000000e+00
P2;2021-06-17;19,50;19,50;0,00000000000000e+00
P20;2021-06-17;15,00;15,00;0,00000000000000e+00
P21;2021-06-17;15,00;15,00;0,00000000000000e+00
P22;2021-06-17;20,00;20,00;0,00000000000000e+00
P23;2021-06-17;16,00;16,00;0,00000000000000e+00
P24;2021-06-17;16,00;16,00;0,00000000000000e+00
P25;2021-06-17;15,00;15,00;0,00000000000000e+00
P26;2021-06-17;15,00;15,00;0,00000000000000e+00
P27;2021-06-17;15,00;15,00;0,00000000000000e+00
P28;2021-06-17;15,00;15,00;0,00000000000000e+00
P29;2021-06-17;15,00;15,00;0,00000000000000e+00
P3;2021-06-17;16,50;16,50;0,00000000000000e+00
P30;2021-06-17;19,50;19,50;0,00000000000000e+00
P32;2021-06-17;20,00;20,00;0,00000000000000e+00
P33;2021-06-17;20,00;20,00;0,00000000000000e+00
P34;2021-06-17;20,00;20,00;0,00000000000000e+00
P35;2021-06-17;15,00;15,00;0,00000000000000e+00
P36;2021-06-17;10,00;10,00;0,00000000000000e+00
P37;2021-06-17;20,00;20,00;0,00000000000000e+00
P38;2021-06-17;20,00;20,00;0,00000000000000e+00
P39;2021-06-17;19,98;20,00;-1,99999999999996e-02
P4;2021-06-17;10,00;10,00;0,00000000000000e+00
P40;2021-06-17;16,50;16,50;0,00000000000000e+00
P42;2021-06-17;14,00;14,00;0,00000000000000e+00
P43;2021-06-17;16,00;16,00;0,00000000000000e+00
P44;2021-06-17;19,98;20,00;-1,99999999999996e-02
P45;2021-06-17;16,50;16,50;0,00000000000000e+00
P46;2021-06-17;15,00;15,00;0,00000000000000e+00
P47;2021-06-17;16,50;16,50;0,00000000000000e+00
P48;2021-06-17;15,00;15,00;0,00000000000000e+00
P49;2021-06-17;15,00;15,00;0,00000000000000e+00
P5;2021-06-17;10,00;10,00;0,00000000000000e+00
P6;2021-06-17;10,00;10,00;0,00000000000000e+00
P7;2021-06-17;20,00;20,00;0,00000000000000e+00
P8;2021-06-17;20,00;20,00;0,00000000000000e+00
P9;2021-06-17;18,99;20,00;-1,01000000000000e+00
C15;2021-06-18;17,00;17,00;0,00000000000000e+00
C44;2021-06-18;12,50;12,50;0,00000000000000e+00
P0;2021-07-28;20,00;20,00;0,00000000000000e+00
P1;2021-07-28;20,00;20,00;0,00000000000000e+00
P10;2021-07-28;20,00;15,00;5,00000000000000e+00
P11;2021-07-28;20,00;20,00;0,00000000000000e+00
P12;2021-07-28;20,00;20,00;0,00000000000000e+00
P19;2021-07-28;15,00;15,00;0,00000000000000e+00
P20;2021-07-28;20,00;20,00;0,00000000000000e+00
P21;2021-07-28;14,00;15,00;-1,00000000000000e+00
P25;2021-07-28;15,00;15,00;0,00000000000000e+00
P26;2021-07-28;15,00;15,00;0,00000000000000e+00
P27;2021-07-28;15,00;15,00;0,00000000000000e+00
P28;2021-07-28;15,00;15,00;0,00000000000000e+00
